Designator,Mid X,Mid Y,Rotation,Layer
C1,52.5102,18.0006,90.0,top
C10,23.5288,9.3646,90.0,top
C11,33.8412,9.3456,90.0,top
C12,35.8732,9.3456,90.0,top
C13,29.7264,12.8546,90.0,top
C14,35.8,12.8546,270.0,top
C15,37.9052,9.3456,90.0,top
C16,39.9372,9.3456,90.0,top
C17,29.7264,9.3456,90.0,top
C18,31.792,9.3456,90.0,top
C19,35.8,17.3729,270.0,top
C2,47.78,12.8546,270.0,top
C20,33.655,21.831,270.0,top
C21,52.5102,21.4906,270.0,top
C22,37.9052,12.8546,270.0,top
C3,13.1656,27.8914,90.0,top
C4,27.6352,21.831,270.0,top
C5,47.78,17.45,90.0,top
C6,58.4538,21.4652,90.0,top
C7,17.2,27.8914,90.0,top
C8,27.6436,9.3456,90.0,top
C9,25.5608,9.3646,90.0,top
D1,28.5072,17.3729,90.0,top
D2,33.511,17.3729,90.0,top
D3,30.8948,17.3279,270.0,top
D4,36.195,21.831,90.0,top
D5,45.17,17.45,270.0,top
D6,24.5582,12.4246,0.0,top
J1,55.482,2.659,0.0,top
J2,32.887,2.605,0.0,top
J3,44.196,25.641,180.0,top
J4,24.511,27.6241,180.0,top
J5,55.482,13.029,90.0,top
L1,41.9,13.1,0.0,top
Q1,32.8,12.9,0.0,top
Q2,38.67,17.31,270.0,top
Q3,42.23,17.33,90.0,top
Q4,30.5816,25.3127,180.0,top
R1,56.478877,18.0006,90.0,top
R10,41.92,9.3456,90.0,top
R11,27.6436,12.8546,90.0,top
R13,47.78,9.3456,90.0,top
R14,31.4452,28.8179,90.0,top
R15,38.481,21.831,90.0,top
R16,38.481,25.26,90.0,top
R17,38.481,28.7925,90.0,top
R18,29.464,28.8179,270.0,top
R19,31.5722,21.831,270.0,top
R2,58.442411,18.0006,90.0,top
R20,29.6164,21.831,270.0,top
R3,19.2,27.8914,90.0,top
R4,54.500521,17.995809,270.0,top
R5,15.1722,27.8914,90.0,top
R6,25.654,21.831,270.0,top
R7,23.749,21.831,270.0,top
R8,45.82,9.3456,90.0,top
R9,43.87,9.3456,90.0,top
SW1,3.0,2.5,0.0,top
SW2,3.0,28.5,0.0,top
SW3,15.5,3.0,180.0,top
U1,10.0,15.5,90.0,top
U2,55.5328,21.8462,90.0,top
U3,34.9504,25.3127,0.0,top
